"studentid","msoffsetfromstart","affect"
"BNHS0115",311314,NA
"BNHS0115",362038,"CONCENTRATING"
"BNHS0115",409774,"CONCENTRATING"
"BNHS0115",462928,"CONCENTRATING"
"BNHS0115",517756,"CONCENTRATING"
"BNHS0115",578050,"CONCENTRATING"
"BNHS0115",647145,NA
"BNHS0115",691367,"CONCENTRATING"
"BNHS0115",724291,"CONCENTRATING"
"BNHS0115",791117,"CONCENTRATING"
"BNHS0115",827625,NA
"BNHS0115",870592,"CONCENTRATING"
"BNHS0115",923053,"CONCENTRATING"
"BNHS0115",958202,"CONCENTRATING"
"BNHS0115",992969,"CONCENTRATING"
"BNHS0115",1037865,"CONCENTRATING"
"BNHS0115",1078646,"CONCENTRATING"
"BNHS0115",1132809,"CONCENTRATING"
"BNHS0115",1169414,"CONCENTRATING"
"BNHS0115",1214631,"CONCENTRATING"
"BNHS0115",1272506,"CONCENTRATING"
"BNHS0115",1302752,"CONCENTRATING"
"BNHS0115",1341074,"CONCENTRATING"
"BNHS0115",1375556,"CONCENTRATING"
"BNHS0115",1412803,"CONCENTRATING"
"BNHS0115",1474954,"CONCENTRATING"
"BNHS0115",1519393,"CONCENTRATING"
"BNHS0115",1565396,"CONCENTRATING"
"BNHS0115",1611358,"CONCENTRATING"
"BNHS0115",1677393,"CONCENTRATING"
"BNHS0115",1726762,"CONCENTRATING"
"BNHS0115",1761467,"CONFUSED"
"BNHS0115",1813812,NA
"BNHS0115",1878148,"CONFUSED"
"BNHS0115",1925917,"CONCENTRATING"
"BNHS0115",1976916,"CONCENTRATING"
"BNHS0115",2017026,"CONCENTRATING"
"BNHS0115",2063261,"CONCENTRATING"
"BNHS0115",2106165,NA
"BNHS0115",2139848,"CONCENTRATING"
"BNHS0115",2194312,"CONCENTRATING"
"BNHS0115",2248941,"CONCENTRATING"
"BNHS0115",2308178,"CONCENTRATING"
"BNHS0115",2354385,"FRUSTRATED"
"BNHS0115",2410179,"CONCENTRATING"
"BNHS0115",2447177,"CONFUSED"
"BNHS0115",2505011,"CONFUSED"
"BNHS0115",2557875,"FRUSTRATED"
"BNHS0115",2619895,"FRUSTRATED"
"BNHS0115",2672888,"CONCENTRATING"
"BNHS0115",2718501,"CONCENTRATING"
"BNHS0115",2770750,"FRUSTRATED"
"BNHS0115",2817000,"CONFUSED"
"BNHS0115",2863714,"CONCENTRATING"
"BNHS0115",2925149,"CONCENTRATING"
"BNHS0115",2987195,"FRUSTRATED"
"BNHS0115",3035817,"CONCENTRATING"
"BNHS0115",3073741,"CONCENTRATING"
"BNHS0115",3114374,"CONCENTRATING"
"BNHS0115",3139881,"CONCENTRATING"
"BNHS0115",3184186,"CONCENTRATING"
"BNHS0115",3233954,"CONCENTRATING"
"BNHS0115",3297565,"CONFUSED"
"BNHS0115",3339230,"CONCENTRATING"
"BNHS0115",3368803,"CONCENTRATING"
"BNHS0115",3415296,"CONFUSED"
"BNHS0115",3457162,"CONCENTRATING"
"BNHS0115",3501767,"CONCENTRATING"
"BNHS0115",3537189,"CONFUSED"
"BNHS0115",3576163,"CONCENTRATING"
"BNHS0115",3616665,"CONCENTRATING"
"BNHS0115",3658435,"CONCENTRATING"
"BNHS0115",3689781,"CONCENTRATING"
"BNHS0115",3740365,"CONCENTRATING"
"BNHS0115",3781036,"CONCENTRATING"
"BNHS0115",3823472,"CONCENTRATING"
"USC0106",19359,NA
"USC0106",59653,"CONCENTRATING"
"USC0106",85430,"CONCENTRATING"
"USC0106",108423,"CONCENTRATING"
"USC0106",131056,"CONCENTRATING"
"USC0106",166103,"CONCENTRATING"
"USC0106",201246,"CONCENTRATING"
"USC0106",233858,"CONCENTRATING"
"USC0106",277786,"CONFUSED"
"USC0106",308395,"CONCENTRATING"
"USC0106",339035,"CONFUSED"
"USC0106",368603,"CONFUSED"
"USC0106",403302,"CONCENTRATING"
"USC0106",437388,"CONCENTRATING"
"USC0106",463502,"CONCENTRATING"
"USC0106",493583,"CONCENTRATING"
"USC0106",525245,"CONCENTRATING"
"USC0106",551439,"CONCENTRATING"
"USC0106",604685,"CONCENTRATING"
"USC0106",631999,"CONFUSED"
"USC0106",665155,"CONFUSED"
"USC0106",691328,"CONFUSED"
"USC0106",713099,"CONFUSED"
"USC0106",734611,"CONFUSED"
"USC0106",763889,"CONCENTRATING"
"USC0106",799694,"CONCENTRATING"
"USC0106",833073,"CONCENTRATING"
"USC0106",857204,"CONFUSED"
"USC0106",890461,"CONCENTRATING"
"USC0106",924528,"CONFUSED"
"USC0106",957353,"CONFUSED"
"USC0106",990024,"CONFUSED"
"USC0106",1031563,"CONFUSED"
"USC0106",1059714,"FRUSTRATED"
"USC0106",1104818,"CONFUSED"
"USC0106",1130316,"FRUSTRATED"
"USC0106",1167575,"CONCENTRATING"
"USC0106",1209175,"CONFUSED"
"USC0106",1234607,"CONFUSED"
"USC0106",1280146,"FRUSTRATED"
"USC0106",1314239,"CONFUSED"
"USC0106",1343455,NA
"USC0106",1378116,"CONFUSED"
"USC0106",1413067,"CONCENTRATING"
"USC0106",1439191,"FRUSTRATED"
"USC0106",1469629,"CONFUSED"
"USC0106",1494394,"CONCENTRATING"
"USC0106",1530915,"CONCENTRATING"
"USC0106",1557238,"CONFUSED"
"USC0106",1577508,"CONFUSED"
"USC0106",1608722,"CONFUSED"
"USC0106",1637990,"CONFUSED"
"USC0106",1667615,"CONFUSED"
"USC0106",1715714,"CONFUSED"
"USC0106",1753966,"FRUSTRATED"
"USC0106",1800956,"FRUSTRATED"
"USC0106",1836652,NA
"USC0106",1875301,"CONFUSED"
"USC0106",1930794,"CONCENTRATING"
"USC0106",1971532,NA
"USC0106",2012336,"CONCENTRATING"
"USC0106",2050476,NA
"USC0106",2087757,NA
"USC0106",2122658,"CONCENTRATING"
"USC0106",2156482,NA
"USC0106",2184677,"CONCENTRATING"
"USC0106",2220035,"CONFUSED"
"USC0106",2284640,"CONCENTRATING"
"USC0106",2310024,"CONFUSED"
"USC0106",2332212,"CONFUSED"
"USC0106",2353395,NA
"USC0106",2372060,"CONCENTRATING"
"USC0106",2409245,"CONCENTRATING"
"USC0106",2446045,"CONFUSED"
"USC0106",2472761,"CONCENTRATING"
"USC0106",2512925,"CONFUSED"
"USC0106",2547506,"CONFUSED"
"USC0106",2579348,"CONCENTRATING"
"USC0106",2615009,"CONCENTRATING"
"USC0106",2658202,NA
"USC0106",2691873,"CONCENTRATING"
"USC0106",2742257,"CONFUSED"
"USC0106",2799262,"CONCENTRATING"
"USC0106",2824475,"CONCENTRATING"
"USC0106",2882698,"CONFUSED"
"USC0106",2911470,NA
"USC0106",2949619,"FRUSTRATED"
"USC0106",2973258,"CONCENTRATING"
"USC0106",2999045,"CONCENTRATING"
"USC0106",3073193,"CONCENTRATING"
"USC0106",3137833,"CONCENTRATING"
"USC0106",3167205,"CONCENTRATING"
"USC0106",3233971,"CONCENTRATING"
"USC0106",3280738,"CONCENTRATING"
"USC0106",3328190,"CONCENTRATING"
"USC0106",3414793,"CONFUSED"
"USC0106",3449019,"CONCENTRATING"
"USC0106",3485873,"CONCENTRATING"
"USC0106",3510215,"CONCENTRATING"
"USC0106",3556208,"CONCENTRATING"
"USC0107",31307,NA
"USC0107",66434,NA
"USC0107",93109,"CONCENTRATING"
"USC0107",112667,"CONCENTRATING"
"USC0107",135471,"CONCENTRATING"
"USC0107",173238,"CONCENTRATING"
"USC0107",207005,"CONCENTRATING"
"USC0107",239362,"CONCENTRATING"
"USC0107",284557,NA
"USC0107",311760,"CONCENTRATING"
"USC0107",344524,NA
"USC0107",374073,"CONCENTRATING"
"USC0107",411819,NA
"USC0107",443096,"CONCENTRATING"
"USC0107",467476,"CONCENTRATING"
"USC0107",503002,"CONCENTRATING"
"USC0107",534522,NA
"USC0107",554529,"CONCENTRATING"
"USC0107",608391,"CONCENTRATING"
"USC0107",642541,NA
"USC0107",670654,"CONCENTRATING"
"USC0107",695611,"CONCENTRATING"
"USC0107",715842,"CONCENTRATING"
"USC0107",739213,"CONCENTRATING"
"USC0107",768923,"CONFUSED"
"USC0107",804901,NA
"USC0107",836636,"CONCENTRATING"
"USC0107",864257,"CONCENTRATING"
"USC0107",895102,"CONFUSED"
"USC0107",931613,"CONCENTRATING"
"USC0107",961455,"CONFUSED"
"USC0107",1000726,"CONFUSED"
"USC0107",1036630,NA
"USC0107",1073069,"CONCENTRATING"
"USC0107",1109960,"CONFUSED"
"USC0107",1136669,"CONCENTRATING"
"USC0107",1175349,NA
"USC0107",1216194,"CONFUSED"
"USC0107",1242847,"CONFUSED"
"USC0107",1285088,"CONFUSED"
"USC0107",1320111,"CONCENTRATING"
"USC0107",1355686,"CONFUSED"
"USC0107",1387719,NA
"USC0107",1419989,"CONFUSED"
"USC0107",1448492,"CONCENTRATING"
"USC0107",1474258,"CONCENTRATING"
"USC0107",1501171,NA
"USC0107",1535046,"CONCENTRATING"
"USC0107",1560478,"CONCENTRATING"
"USC0107",1581086,"CONCENTRATING"
"USC0107",1612337,"CONCENTRATING"
"USC0107",1643425,"CONCENTRATING"
"USC0107",1675056,NA
"USC0107",1721502,"CONCENTRATING"
"USC0107",1757851,"CONCENTRATING"
"USC0107",1807931,"CONCENTRATING"
"USC0107",1844958,NA
"USC0107",1884188,"CONCENTRATING"
"USC0107",1935501,"CONCENTRATING"
"USC0107",1981190,"CONFUSED"
"USC0107",2023257,"CONCENTRATING"
"USC0107",2054723,"FRUSTRATED"
"USC0107",2095404,NA
"USC0107",2126943,NA
"USC0107",2160879,"CONCENTRATING"
"USC0107",2189154,"CONCENTRATING"
"USC0107",2229285,NA
"USC0107",2291197,NA
"USC0107",2315163,"CONCENTRATING"
"USC0107",2336271,"CONCENTRATING"
"USC0107",2356513,"CONCENTRATING"
"USC0107",2375648,"CONCENTRATING"
"USC0107",2412881,"CONCENTRATING"
"USC0107",2452877,"CONCENTRATING"
"USC0107",2480222,"CONCENTRATING"
"USC0107",2520147,"CONCENTRATING"
"USC0107",2555538,"CONCENTRATING"
"USC0107",2584923,"FRUSTRATED"
"USC0107",2619179,"FRUSTRATED"
"USC0107",2662343,NA
"USC0107",2699257,"CONCENTRATING"
"USC0107",2749661,"CONCENTRATING"
"USC0107",2802900,"CONCENTRATING"
"USC0107",2827243,"CONCENTRATING"
"USC0107",2886422,"CONCENTRATING"
"USC0107",2921447,NA
"USC0107",2953881,"CONCENTRATING"
"USC0107",2976651,"CONCENTRATING"
"USC0107",3005592,NA
"USC0107",3098441,"CONCENTRATING"
"USC0107",3145897,NA
"USC0107",3170753,"CONCENTRATING"
"USC0107",3248244,"CONCENTRATING"
"USC0107",3294886,"CONCENTRATING"
"USC0107",3362252,NA
"USC0107",3420569,"CONFUSED"
"USC0107",3462859,"CONCENTRATING"
"USC0107",3490248,NA
"USC0107",3513327,NA
"USC0107",3566067,"CONFUSED"
"USC0114",24776,"CONCENTRATING"
"USC0114",49399,"CONCENTRATING"
"USC0114",78568,"CONCENTRATING"
"USC0114",96902,"CONCENTRATING"
"USC0114",116543,"CONCENTRATING"
"USC0114",141761,"CONCENTRATING"
"USC0114",167314,NA
"USC0114",182750,"CONCENTRATING"
"USC0114",207749,"CONCENTRATING"
"USC0114",240605,"CONCENTRATING"
"USC0114",286178,"CONCENTRATING"
"USC0114",322143,"CONCENTRATING"
"USC0114",358291,"CONCENTRATING"
"USC0114",397601,"CONCENTRATING"
"USC0114",422335,NA
"USC0114",451383,NA
"USC0114",484124,"CONCENTRATING"
"USC0114",515736,"CONCENTRATING"
"USC0114",541518,"CONCENTRATING"
"USC0114",562616,"CONCENTRATING"
"USC0114",586376,"CONCENTRATING"
"USC0114",610631,"CONCENTRATING"
"USC0114",659154,"CONFUSED"
"USC0114",698860,"CONCENTRATING"
"USC0114",717551,"CONCENTRATING"
"USC0114",737128,"CONCENTRATING"
"USC0114",761378,"CONCENTRATING"
"USC0114",799839,"CONCENTRATING"
"USC0114",834793,"FRUSTRATED"
"USC0114",870599,"FRUSTRATED"
"USC0114",917481,"CONCENTRATING"
"USC0114",956640,"CONCENTRATING"
"USC0114",981621,"CONCENTRATING"
"USC0114",1013090,"CONCENTRATING"
"USC0114",1038024,"CONCENTRATING"
"USC0114",1063573,NA
"USC0114",1099553,"CONCENTRATING"
"USC0114",1121508,"CONCENTRATING"
"USC0114",1153144,"FRUSTRATED"
"USC0114",1184934,"CONCENTRATING"
"USC0114",1215843,"CONCENTRATING"
"USC0114",1249635,"CONCENTRATING"
"USC0114",1280975,"CONCENTRATING"
"USC0114",1329022,"CONCENTRATING"
"USC0114",1376911,"CONCENTRATING"
"USC0114",1399194,NA
"USC0114",1423276,"CONFUSED"
"USC0114",1449706,"CONCENTRATING"
"USC0114",1494332,"FRUSTRATED"
"USC0114",1513869,"CONCENTRATING"
"USC0114",1531880,"FRUSTRATED"
"USC0114",1571058,"CONCENTRATING"
"USC0114",1611134,"CONCENTRATING"
"USC0114",1646120,"CONCENTRATING"
"USC0114",1686283,"CONCENTRATING"
"USC0114",1710379,"CONCENTRATING"
"USC0114",1734239,"CONCENTRATING"
"USC0114",1757518,"CONCENTRATING"
"USC0114",1777236,"CONCENTRATING"
"USC0114",1795565,"CONCENTRATING"
"USC0114",1811978,"CONCENTRATING"
"USC0114",1838786,"CONCENTRATING"
"USC0114",1856380,NA
"USC0114",1905085,"CONCENTRATING"
"USC0114",1943660,"CONCENTRATING"
"USC0114",1984343,"CONCENTRATING"
"USC0114",2022177,"CONCENTRATING"
"USC0114",2065580,"CONCENTRATING"
"USC0114",2098523,NA
"USC0114",2122294,"CONCENTRATING"
"USC0114",2168953,"CONCENTRATING"
"USC0114",2216979,"FRUSTRATED"
"USC0114",2258544,NA
"USC0114",2284321,"CONCENTRATING"
"USC0114",2304546,"CONCENTRATING"
"USC0114",2319704,"CONCENTRATING"
"USC0114",2356067,"CONCENTRATING"
"USC0114",2383964,"CONCENTRATING"
"USC0114",2413882,"CONCENTRATING"
"USC0114",2444097,"CONCENTRATING"
"USC0114",2480875,NA
"USC0114",2517793,"FRUSTRATED"
"USC0114",2537668,"CONCENTRATING"
"USC0114",2591685,"CONCENTRATING"
"USC0114",2651499,"CONCENTRATING"
"USC0114",2692199,"CONCENTRATING"
"USC0114",2728152,"CONCENTRATING"
"USC0114",2783962,NA
"USC0114",2834402,NA
"USC0114",2868823,"CONFUSED"
"USC0114",2907621,"CONCENTRATING"
"USC0114",2940383,NA
"USC0114",3000525,"BORED"
"USC0114",3030895,NA
"USC0114",3063777,"CONCENTRATING"
"USC0114",3107179,"CONCENTRATING"
"USC0114",3141892,"CONCENTRATING"
"USC0114",3168164,"CONCENTRATING"
"USC0114",3216750,"CONCENTRATING"
"USC0114",3239441,NA
"USC0207",11434,"CONCENTRATING"
"USC0207",30245,"CONCENTRATING"
"USC0207",47766,"CONCENTRATING"
"USC0207",64820,NA
"USC0207",85840,"CONCENTRATING"
"USC0207",111061,"CONCENTRATING"
"USC0207",124553,"CONCENTRATING"
"USC0207",146393,"CONCENTRATING"
"USC0207",161898,NA
"USC0207",177748,NA
"USC0207",192369,NA
"USC0207",213058,"CONCENTRATING"
"USC0207",229923,NA
"USC0207",246088,NA
"USC0207",261482,NA
"USC0207",283922,"CONCENTRATING"
"USC0207",302826,"CONCENTRATING"
"USC0207",328921,"CONCENTRATING"
"USC0207",348451,NA
"USC0207",367362,"CONCENTRATING"
"USC0207",390133,"CONCENTRATING"
"USC0207",406981,"CONCENTRATING"
"USC0207",423401,"CONCENTRATING"
"USC0207",439639,"CONCENTRATING"
"USC0207",457930,"CONCENTRATING"
"USC0207",475145,"CONCENTRATING"
"USC0207",487600,"CONCENTRATING"
"USC0207",503656,"CONCENTRATING"
"USC0207",517262,"CONCENTRATING"
"USC0207",542891,"CONCENTRATING"
"USC0207",574312,"CONCENTRATING"
"USC0207",591981,"CONCENTRATING"
"USC0207",608289,"CONCENTRATING"
"USC0207",636651,"CONCENTRATING"
"USC0207",662848,"CONCENTRATING"
"USC0207",692327,NA
"USC0207",708765,"CONCENTRATING"
"USC0207",729090,"CONCENTRATING"
"USC0207",746930,"CONCENTRATING"
"USC0207",772178,"CONCENTRATING"
"USC0207",797236,"CONCENTRATING"
"USC0207",817200,NA
"USC0207",838111,"CONCENTRATING"
"USC0207",863792,"CONCENTRATING"
"USC0207",890788,"CONCENTRATING"
"USC0207",910302,"CONCENTRATING"
"USC0207",929666,"CONCENTRATING"
"USC0207",953575,NA
"USC0207",973911,NA
"USC0207",1005787,NA
"USC0207",1024132,NA
"USC0207",1043842,"CONCENTRATING"
"USC0207",1064764,NA
"USC0207",1081996,"CONCENTRATING"
"USC0207",1098133,"CONCENTRATING"
"USC0207",1127376,NA
"USC0207",1148003,"CONCENTRATING"
"USC0207",1168958,"CONCENTRATING"
"USC0207",1191098,"CONCENTRATING"
"USC0207",1209677,"CONCENTRATING"
"USC0207",1229991,"CONCENTRATING"
"USC0207",1245133,"CONCENTRATING"
"USC0207",1267869,"CONCENTRATING"
"USC0207",1284827,"CONCENTRATING"
"USC0207",1299523,"CONCENTRATING"
"USC0207",1324780,"CONCENTRATING"
"USC0207",1350383,"CONCENTRATING"
"USC0207",1376996,"CONCENTRATING"
"USC0207",1394875,"CONCENTRATING"
"USC0207",1415152,NA
"USC0207",1435748,"CONCENTRATING"
"USC0207",1451426,"CONCENTRATING"
"USC0207",1470010,"CONCENTRATING"
"USC0207",1484545,"CONCENTRATING"
"USC0207",1498842,"CONCENTRATING"
"USC0207",1514925,"CONCENTRATING"
"USC0207",1539854,"CONCENTRATING"
"USC0207",1568854,"CONCENTRATING"
"USC0207",1590758,"CONCENTRATING"
"USC0207",1609963,NA
"USC0207",1632132,"CONCENTRATING"
"USC0207",1657145,"CONCENTRATING"
"USC0207",1680705,NA
"USC0207",1706593,NA
"USC0207",1731863,"CONCENTRATING"
"USC0207",1761808,"CONCENTRATING"
"USC0207",1796306,"CONCENTRATING"
"USC0207",1825545,NA
"USC0207",1850809,"CONCENTRATING"
"USC0207",1871229,NA
"USC0207",1903496,"CONCENTRATING"
"USC0207",1927879,NA
"USC0207",1958153,"CONCENTRATING"
"USC0207",1999160,"CONCENTRATING"
"USC0207",2045863,"CONCENTRATING"
"USC0207",2061310,"CONCENTRATING"
"USC0207",2094674,"CONCENTRATING"
"USC0207",2116876,NA
"USC0207",2137884,"CONCENTRATING"
"USC0207",2154519,NA
"USC0208",14413,"CONCENTRATING"
"USC0208",35647,"CONCENTRATING"
"USC0208",51086,"CONCENTRATING"
"USC0208",70518,"CONCENTRATING"
"USC0208",88812,"CONCENTRATING"
"USC0208",113617,"CONCENTRATING"
"USC0208",127022,"CONCENTRATING"
"USC0208",149123,"CONCENTRATING"
"USC0208",164641,"CONCENTRATING"
"USC0208",180241,"CONCENTRATING"
"USC0208",197753,"CONCENTRATING"
"USC0208",215439,"CONCENTRATING"
"USC0208",233049,"CONCENTRATING"
"USC0208",248711,"CONCENTRATING"
"USC0208",264530,"CONCENTRATING"
"USC0208",286331,"CONCENTRATING"
"USC0208",306591,"CONCENTRATING"
"USC0208",333122,"CONCENTRATING"
"USC0208",352335,"CONCENTRATING"
"USC0208",370439,"CONCENTRATING"
"USC0208",393579,"CONCENTRATING"
"USC0208",409822,"CONCENTRATING"
"USC0208",425617,"CONCENTRATING"
"USC0208",442906,"CONCENTRATING"
"USC0208",461027,"CONCENTRATING"
"USC0208",477507,"CONCENTRATING"
"USC0208",491426,"CONCENTRATING"
"USC0208",506116,"CONCENTRATING"
"USC0208",525030,"CONCENTRATING"
"USC0208",547219,"CONCENTRATING"
"USC0208",576874,"CONCENTRATING"
"USC0208",594859,"CONCENTRATING"
"USC0208",611922,"CONCENTRATING"
"USC0208",640656,"CONCENTRATING"
"USC0208",665777,"CONCENTRATING"
"USC0208",695547,"CONCENTRATING"
"USC0208",714381,NA
"USC0208",731658,"CONCENTRATING"
"USC0208",749527,"CONCENTRATING"
"USC0208",775720,"CONCENTRATING"
"USC0208",799690,"CONCENTRATING"
"USC0208",823052,"CONCENTRATING"
"USC0208",842861,NA
"USC0208",867273,"CONCENTRATING"
"USC0208",894631,"CONCENTRATING"
"USC0208",913238,"CONCENTRATING"
"USC0208",932371,"CONCENTRATING"
"USC0208",958018,NA
"USC0208",979317,NA
"USC0208",1008395,"CONCENTRATING"
"USC0208",1027158,"CONCENTRATING"
"USC0208",1046791,"CONCENTRATING"
"USC0208",1067678,"CONCENTRATING"
"USC0208",1085284,"CONCENTRATING"
"USC0208",1100912,"CONCENTRATING"
"USC0208",1130552,"CONCENTRATING"
"USC0208",1150733,"CONCENTRATING"
"USC0208",1174435,"CONCENTRATING"
"USC0208",1198249,"CONCENTRATING"
"USC0208",1216329,"CONCENTRATING"
"USC0208",1233062,"CONCENTRATING"
"USC0208",1252962,"CONCENTRATING"
"USC0208",1270966,"CONCENTRATING"
"USC0208",1287651,"CONCENTRATING"
"USC0208",1303204,"CONCENTRATING"
"USC0208",1328400,"CONCENTRATING"
"USC0208",1355095,"FRUSTRATED"
"USC0208",1380401,"CONCENTRATING"
"USC0208",1398264,"CONCENTRATING"
"USC0208",1418993,"CONCENTRATING"
"USC0208",1439764,"CONCENTRATING"
"USC0208",1454270,"CONCENTRATING"
"USC0208",1472945,"CONCENTRATING"
"USC0208",1486871,"CONCENTRATING"
"USC0208",1501309,"CONCENTRATING"
"USC0208",1517657,"CONCENTRATING"
"USC0208",1543058,"CONCENTRATING"
"USC0208",1572941,"CONCENTRATING"
"USC0208",1593992,"CONCENTRATING"
"USC0208",1615002,"CONCENTRATING"
"USC0208",1636911,"CONCENTRATING"
"USC0208",1660452,"CONCENTRATING"
"USC0208",1683915,"CONCENTRATING"
